V1,Date_Deb_Situ,ANNEE,Date_Fin_Situ,IDA,Responsabilite_IDA,ANNEE_CLOTURE,CHARGE_SINISTRE,Num_contrat,IMMAT
4693,2013-03-01,2013,2013-06-06,1,0,2013,-141.218722359577,13479,64964
4694,2013-01-01,2013,2013-03-19,0,0,2014,1696.59711726866,13481,64999
4695,2012-07-17,2012,2012-08-20,0,0,2014,140.119324582087,13484,65010
4697,2012-09-27,2012,2012-11-28,0,0,2013,6001.26755821244,13488,65022
4699,2012-01-01,2012,2012-05-15,1,0,2012,-690.432582673441,13492,65048
4700,2012-03-01,2012,2012-12-03,0,0,2012,2363.71600001356,13495,65062
4701,2012-01-01,2012,2012-11-26,0,0,2012,1082.17387897621,13508,65106
4704,2012-04-01,2012,2012-12-31,0,0,2012,1123.49830131834,13517,65147
4705,2012-04-01,2012,2012-12-31,1,0,2012,1063.13920765221,13517,65147
4706,2013-06-01,2013,2013-12-31,0,0,2014,200.047281864887,13521,65169
4707,2012-01-01,2012,2012-05-17,0,0,2012,1191.20827032024,13526,65183
4708,2012-01-01,2012,2012-05-17,0,0,2013,706.815765239962,13526,65184
4709,2013-01-01,2013,2013-02-28,1,50,2013,370.15214190754,13529,65200
4710,2013-07-13,2013,2013-12-31,0,0,2013,1866.76664776881,13535,65212
4711,2012-04-01,2012,2012-12-31,0,0,2013,2749.86330174262,13537,65218
4712,2011-06-01,2011,2011-08-23,0,0,2012,1738.3634544037,13542,65233
4713,2011-07-15,2011,2011-11-24,1,0,2012,864.557789490642,13545,65237
4714,2012-06-04,2012,2012-12-31,0,0,2013,3962.0032434735,13547,65241
4715,2012-01-01,2012,2012-03-05,0,0,2012,3743.63266531711,13548,65246
4716,2012-04-01,2012,2012-12-31,1,0,2013,-565.44614514622,13548,65249
4717,2011-04-01,2011,2011-12-31,0,0,2012,521.157660168697,13555,65272
4718,2012-01-01,2012,2012-12-31,1,0,2012,-508.029557296314,13556,65276
4719,2011-05-01,2011,2011-09-29,1,0,2011,6521.91863313073,13560,65308
4720,2011-07-01,2011,2011-12-31,0,0,2011,1311.0210712475,13560,65310
4721,2012-01-01,2012,2012-12-31,1,50,2012,-42.5100473962885,13561,65316
4722,2013-04-19,2013,2013-09-29,1,0,2013,1519.93898419939,13566,65356
4723,2012-11-29,2012,2012-12-31,0,0,2013,222.951402229267,13571,65376
4724,2013-02-06,2013,2013-07-02,0,0,2014,577.410179783613,13571,65379
4725,2013-06-11,2013,2013-12-31,1,0,2014,454.385412800541,13573,65386
4726,2012-04-01,2012,2012-12-31,1,0,2013,697.179867072548,13575,65398
4727,2012-04-01,2012,2012-12-31,0,0,2012,1879.97019950828,13575,65398
4728,2013-01-01,2013,2013-12-31,1,0,2013,35.7196493588489,13576,65401
4729,2013-01-01,2013,2013-10-29,0,0,2013,606.878351584184,13577,65402
4731,2013-03-01,2013,2013-12-31,0,0,2014,1186.13163940653,13587,65453
